城市ID,城市名,城市名（英文）,国家,国家CODE
SP91FD79GFQU,安道尔,Andorra la Vella,安道尔,AD
THM3PVJHX1G2,Ar Ruways,Ar Ruways,阿联酋,AE
THQEJNH8EJWT,阿布扎比,Abu Dhabi,阿联酋,AE
THR9SGGWEJYQ,艾因,Al Ain,阿联酋,AE
THRRDQPEMRVW,迪拜,Dubai,阿联酋,AE
THRXZEE9YZJZ,Adh Dhayd,Adh Dhayd,阿联酋,AE
THX2K8PMN3P2,夏尔迦,Sharjah,阿联酋,AE
THX2T3YW6N1Z,Ajman,Ajman,阿联酋,AE
THX92JYJ35PD,Umm al-Quwain,Umm al-Quwain,阿联酋,AE
THXF9NBDGHBD,Ras al-Khaimah,Ras al-Khaimah,阿联酋,AE
TK2NFH69DJCX,富查伊拉,Fujairah,阿联酋,AE
TK80456VXS33,Khor'fakkan,Khor'fakkan,阿联酋,AE
TK818XBSTY7W,Dibba Al-Hisn,Dibba Al-Hisn,阿联酋,AE
TMSEKGDWVG58,哈什,Khash,阿富汗,AF
TMTG8Z3ZR71E,拉什卡尔加,Lashkar Gah,阿富汗,AF
TMTVJ2F6P7C4,格里什克,Gereshk,阿富汗,AF
TMU0JMXG0W3N,法拉,Farah,阿富汗,AF
TMUJ3V21PP50,Kushk,Kushk,阿富汗,AF
TMUJQNW7EMUP,Shindand,Shindand,阿富汗,AF
TMWEZ708UVZ3,坎大哈,Kandahar,阿富汗,AF
TQ5MJWGKH809,Kafir Qala,Kafir Qala,阿富汗,AF
TQH5RKUKT74V,赫拉特,Herat,阿富汗,AF
TQHS0JJFY7P8,Karukh,Karukh,阿富汗,AF
TQJDP319GSRW,Shahrak,Shahrak,阿富汗,AF
TQM772T1GNW8,Ghormach,Ghormach,阿富汗,AF
TQPFUMZ4XYZE,Cool urhajo,Cool urhajo,阿富汗,AF
TQQH65MCR2WE,梅马内,Maymana,阿富汗,AF
TQQYH2FD4R1S,Sar-e Pul,Sar-e Pul,阿富汗,AF
TQR5ZY1ZUBPJ,Sang-e Charak,Sang-e Charak,阿富汗,AF
TQW61ZJDMT2J,安德胡伊,Andkhoy,阿富汗,AF
TQWB85PU1D55,Shibirghan,Shibirghan,阿富汗,AF
TQWUYGG6WZTC,卡尔金,Qarqin,阿富汗,AF
TQX8Z4STST7T,马扎里沙里夫,Mazar-i-Sharif,阿富汗,AF
TQX947313B3N,巴尔赫,Balkh,阿富汗,AF
TTBWVH4ZWH9C,加兹尼,Ghazni,阿富汗,AF
TTCPPK0Z2BSD,加德兹,Gardez,阿富汗,AF
TTCTXJ62XXKX,霍斯特,Khost,阿富汗,AF
TW110ZWG50B2,Baraki Barak,Baraki Barak,阿富汗,AF
TW1HC06QC1DN,帕格曼,Paghman,阿富汗,AF
TW1HQJ9UBJVY,喀布尔,Kabul,阿富汗,AF
TW1PNN1144HM,恰里卡尔,Charikar,阿富汗,AF
TW1PZ917J4V4,Jabul Saraj,Jabul Saraj,阿富汗,AF
TW1VJXSZQXDR,Mehtar Lam,Mehtar Lam,阿富汗,AF
TW2Q79Z3H60U,Aibak,Aibak,阿富汗,AF
TW2U7XSB673E,Pul-e Khumri,Pul-e Khumri,阿富汗,AF
TW2VE3RU7NYM,巴格兰,Baghlan,阿富汗,AF
TW3JJJMMM8MW,Nahrin,Nahrin,阿富汗,AF
TW45G5JHXXS2,贾拉拉巴德,Jalalabad,阿富汗,AF
TW460URV6SJM,Markaz-e Woluswali-ye Achin,Markaz-e Woluswali-ye Achin,阿富汗,AF
TW4W6URWSEK0,阿萨达巴德,Asadabad,阿富汗,AF
TW4XRC97UJFE,阿斯马尔,Asmar,阿富汗,AF
TW80U883EEZJ,Khulm,Khulm,阿富汗,AF
TW8BYYK1SQN0,昆都士,Kunduz,阿富汗,AF
TW8GTPSR79ZT,Qarawul,Qarawul,阿富汗,AF
TW90SVB7J36M,汗阿巴德,Khanabad,阿富汗,AF
TW92YR97P2P4,Taloqan,Taloqan,阿富汗,AF
TW96VP1RZTHZ,Art Khwajah,Art Khwajah,阿富汗,AF
TW9EJN8FZ7WV,Rustaq,Rustaq,阿富汗,AF
TWD5NHFU1DG1,法扎巴德,Fayzabad,阿富汗,AF
DEH12EFPYDDZ,圣约翰,Saint John,安提瓜和巴布达,AG
DE5PTH69YN1Q,瓦利,The Valley,安圭拉,AI
SRJY5QXZRQ5Z,发罗拉,Vlor?,阿尔巴尼亚,AL
SRJZPNV33E24,Patos Fshat,Patos Fshat,阿尔巴尼亚,AL
SRJZTK0PB3TG,Fier-Cifci,Fier-Cifci,阿尔巴尼亚,AL
SRMFM18GM8RR,卡瓦亚,Kavaj?,阿尔巴尼亚,AL
SRMG46SU30W2,都拉斯,Durr?s,阿尔巴尼亚,AL
SRMVXN2P1M9H,莱什,Lezh?,阿尔巴尼亚,AL
SRMZK429KPDG,斯库台,Shkod?r,阿尔巴尼亚,AL
SRN4Z5P7UZ3F,萨兰达,Sarand?,阿尔巴尼亚,AL
SRN7FR8DW5UP,吉诺卡斯特,Gjirokaster,阿尔巴尼亚,AL
SRNPW42B8KWQ,培拉特,Berat,阿尔巴尼亚,AL
SRNZ0FKHS3TY,戈里察,Kor??,阿尔巴尼亚,AL
SRQ0BMK8PFBC,卢什涅,Lushnj?,阿尔巴尼亚,AL
SRQ0J5QYU5CD,库乔瓦,Ku?ov?,阿尔巴尼亚,AL
SRQ3BUR3TTK9,爱尔巴桑,Elbasan,阿尔巴尼亚,AL
SRQ54GRWJS5Q,地拉那,Tirana-Al,阿尔巴尼亚,AL
SRQH4KS8MNQ3,Kruj?,Kruj?,阿尔巴尼亚,AL
SRQHBED8EWDZ,拉奇,La?,阿尔巴尼亚,AL
SRQHXQFJ2YJY,布雷利,Burrel,阿尔巴尼亚,AL
SRQX2EYGCTYJ,库克斯,Kuk?s,阿尔巴尼亚,AL
SZPEGNJ4Z9X3,Masis,Masis,亚美尼亚,AM
SZPEMDU232T8,阿尔塔沙特,Artashat,亚美尼亚,AM
SZPF971H5RYB,亚拉腊,Ararat,亚美尼亚,AM
SZPK6JGSEQ13,阿尔马维尔,Armavir,亚美尼亚,AM
SZPKRZYM7KXR,埃奇米阿津,Vagharshapat,亚美尼亚,AM
SZPSSFTZFMF1,埃里温,Yerevan,亚美尼亚,AM
SZPT32PRQ2X3,阿什塔拉克,Ashtarak,亚美尼亚,AM
SZPTPD2NDJQC,阿博维扬,Abovyan,亚美尼亚,AM
SZPY6SMFBJ4F,赫拉兹丹,Hrazdan,亚美尼亚,AM
SZPYWVDES1VC,塞凡,Sevan,亚美尼亚,AM
SZR0JDR5MN4R,列宁纳坎,Gyumri,亚美尼亚,AM
SZR2R362YCE6,斯皮塔克,Spitak,亚美尼亚,AM
SZR8HKPRZ18M,瓦纳佐尔,Vanadzor,亚美尼亚,AM
TNBZPCX8KXH0,卡潘,Kapan,亚美尼亚,AM
TP08W04WV84G,Hats'avan,Hats'avan,亚美尼亚,AM
TP0BY3N7JQM4,Goris,Goris,亚美尼亚,AM
TP0JDF4NYP7C,Gavarr,Gavarr,亚美尼亚,AM
KM29S98UPPZB,木萨米迪什,Namibe,安哥拉,AO
KM3E5H2VNJCN,卢班戈,Lubango,安哥拉,AO
